measurement no.	daily measurement	date	avg_T1	avg_T2	avg_p1	avg_p2
1	1	2022-05-23	23.214943378378383	23.207910140540537	1.1763807567567568	1.052578854054054
2	2	2022-05-23	21.94579091085271	21.946433139534886	1.1499426356589149	1.0369280736434108
3	1	2022-05-24	23.75587351149425	23.730585804597702	1.0821673218390804	0.9519641321839081
4	2	2022-05-24	23.91176099137931	23.87916764655172	1.9635072155172415	1.8308859482758622
5	3	2022-05-24	23.966927695652174	23.918096860869568	1.4566980000000003	1.3241238521739132
6	4	2022-05-24	33.17770734482758	33.002488517241375	1.1131380574712642	0.9807261206896551
7	5	2022-05-24	32.0384483724138	31.870230979310346	1.5737564896551726	1.4412269655172414
8	6	2022-05-24	31.30195002734375	31.14716403515625	2.01653050390625	1.884732734375
9	1	2022-05-25	28.24090024071322	28.187733396731055	1.1034130965824664	1.7563985780089153
10	2	2022-05-25	30.18420244444444	30.144101286324787	1.082173222222222	1.7394319358974357
11	3	2022-05-25	33.31686864021164	33.22424744444444	1.3912643597883598	2.2896517936507936
12	4	2022-05-25	31.647068146276595	31.49614811170213	1.5246134574468084	2.5244349521276597
13	5	2022-05-25	32.15725602110818	31.996346034300792	1.830238155672823	3.0648057387862795
14	1	2022-05-26	39.49503531034483	39.36852358128079	1.089701778325123	1.7285700689655172
15	2	2022-05-26	39.79568824926686	39.624827653958945	1.522254539589443	2.5032248856304986
16	3	2022-05-26	39.68303485074626	39.449100503731344	2.036983839552239	3.4273576902985075
17	4	2022-05-26	39.12721051282052	38.97076772649573	1.1066337863247862	0.986046376068376
18	5	2022-05-26	39.45341603125	39.277136125	1.4910148541666668	1.3641098333333332
19	6	2022-05-26	39.24785395754717	39.00604810377358	2.056859066037736	1.9283985613207546
20	7	2022-05-26	39.620830308094	39.39700878590078	2.011696464751958	1.8937729060052215
21	8	2022-05-26	39.35561925588697	39.130918428571434	1.5045670062794347	1.3857232480376764
22	9	2022-05-26	39.19241612017167	38.98143312017167	1.1288794506437767	1.0108212360515023
23	1	2022-05-27	24.871368301724136	24.810054232758624	2.0186181293103447	1.895297706896552
24	2	2022-05-27	25.461254431906614	25.402608451361868	1.5513240038910505	1.4267371400778208
25	3	2022-05-27	26.22429694214876	26.158896148760334	1.5067588595041321	1.3917978181818185
26	4	2022-05-27	26.66775533620689	26.590670353448278	2.257576844827587	2.141549620689655
27	5	2022-05-27	29.908717355555552	29.817030807407406	1.091624251851852	0.9780884592592594
28	6	2022-05-27	30.847055362962966	30.73484751111111	2.0698512000000004	1.9570505629629629
29	7	2022-05-27	31.29496008695653	31.169744913043477	1.6041913130434782	1.488651608695652
30	1	2022-05-30	51.200696969348655	50.90831072796935	2.1429806743295017	2.0228661570881226
31	2	2022-05-30	51.06358121527777	50.75796609722222	1.0495787916666666	0.9386834722222223
32	3	2022-05-30	51.59423012413793	51.28078229655172	1.1295428275862067	1.0107395793103446
33	1	2022-05-31	51.01863086956523	50.51868842608696	1.4443533826086956	1.3184585304347822
34	2	2022-05-31	50.581661350427346	50.11824877777778	1.5105796153846152	1.3995806153846158
35	3	2022-05-31	49.73935595073892	49.507313980295564	1.0638789310344827	0.9359403152709359
36	4	2022-05-31	50.26143831818181	50.01870471428572	1.6018288766233766	1.4712747142857143
37	5	2022-05-31	50.577851206896554	50.27588425	1.9595191724137928	1.8299793362068966
38	6	2022-05-31	51.21564160555556	50.77947526111111	2.048140016666667	1.935036611111111
39	1	2022-06-08	33.263355422222226	33.168075933333334	2.1672300148148143	2.047466977777778
40	2	2022-06-08	32.54048463793103	32.458637249999995	1.0298206379310344	0.9005327586206896
41	3	2022-06-08	31.67698900492611	31.6150800591133	1.0189457733990148	0.8973540886699507
42	4	2022-06-08	41.47700813793104	41.256888152709365	1.8363634926108374	1.7124981674876845
43	5	2022-06-08	41.49061787068967	41.26940975000001	1.3050501034482758	1.1828070344827586
44	6	2022-06-08	40.7965325775862	40.60729027586208	2.1980090172413793	2.081254577586207
45	1	2022-06-09	21.644445054187198	21.63891524630542	1.577222694581281	1.4596910689655171
46	2	2022-06-09	21.63891524630542	1.577222694581281	1.4596910689655171	964.2365233349755
47	1	2022-06-10	19.76537355	19.760448627777777	2.0891056	1.9806892944444447
